Year,Australian Open,French Open,Wimbledon,US Open
1985,Edberg,Wilander,Becker,Lendl
1986,None,Lendl,Becker,Lendl
1987,Edberg,Lendl,Cash,Lendl
1988,Wilander,Wilander,Edberg,Wilander
1989,Lendl,Chang,Becker,Becker
1990,Lendl,Gomez,Edberg,Sampras
1991,Becker,Courier,Stich,Edberg
1992,Courier,Courier,Agassi,Edberg
1993,Courier,Bruguera,Sampras,Sampras
1994,Sampras,Bruguera,Sampras,Agassi
1995,Agassi,Muster,Sampras,Sampras
1996,Becker,Kafelnikov,Krajicek,Sampras
1997,Sampras,Kuerten,Sampras,Rafter
1998,Korda,Moya,Sampras,Rafter
1999,Kafelnikov,Agassi,Sampras,Agassi
2000,Agassi,Kuerten,Sampras,Safin
2001,Agassi,Kuerten,Ivanisevic,Hewitt
2002,Johansson,Costa,Hewitt,Sampras
2003,Agassi,Ferrero,Federer,Roddick
